Stock Code,Product Name,Wholesale Price,Retail Price,Profit,Image URL,Image Preview,Category,Form,Count,Description,Ingredients,Benefits,Directions,Warnings,PN SKU
C300,5-HTP 90s *,$15.50,$34.00,$18.50,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C300-composite_squared.png,,Supplements,Capsules,Capsules,"Professional grade 5-HTP supplement for supplements support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. 5-HTP contains premium quality ingredients sourced for maximum potency and purity.,Supports supplements and overall wellness. 5-HTP is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-5HTP
C771,7 Keto Plus 60s,$30.00,$50.00,$20.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C771-composite_squared.png,,Supplements,Capsules,Capsules,"Professional grade 7 Keto Plus supplement for supplements support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. 7 Keto Plus contains premium quality ingredients sourced for maximum potency and purity.,Supports supplements and overall wellness. 7 Keto Plus is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-7KETOPLU
B280,Adrenal Energy & Stress 120s *,$24.00,$56.00,$32.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/B280-composite_squared.png,,Adrenal Support,Capsules,Capsules,"Professional grade Adrenal Energy & Stress supplement for adrenal support support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. Adrenal Energy & Stress contains premium quality ingredients sourced for maximum potency and purity.,Supports adrenal support and overall wellness. Adrenal Energy & Stress is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ADRENALE
C247,Adrenal Energy & Stress 60s *,$16.00,$34.00,$18.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C247-composite_squared.png,,Adrenal Support,Capsules,Capsules,"Professional grade Adrenal Energy & Stress supplement for adrenal support support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. Adrenal Energy & Stress contains premium quality ingredients sourced for maximum potency and purity.,Supports adrenal support and overall wellness. Adrenal Energy & Stress is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ADRENALE
C312,Adrenal Energy Support 60s,$26.00,$54.00,$28.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C312-composite_squared.png,,Adrenal Support,Capsules,Capsules,"Professional grade Adrenal Energy Support (TABLETS) supplement for adrenal support support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. Adrenal Energy Support (TABLETS) contains premium quality ingredients sourced for maximum potency and purity.,Supports adrenal support and overall wellness. Adrenal Energy Support (TABLETS) is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ADRENALE
B259,Adrenal Nutritional Support 120s *,$24.00,$52.00,$28.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/B259-composite_squared.png,,"Adrenal Support, Energy Support, Stress Support, Vegetarian Product, Vitamins",Capsules,120 Vegetarian Capsules,"For nutritional support of the adrenal and stress tolerance system. Includes B Complex, Methyl Folate, Vitamin C and MANY nutrients that support adrenal function. Excellent for stress and mood balance. Helps calm nerves, increase energy, and improve focus. Non-stimulating. This is a practitioner-designed formula that has been in use for many years and has proven itself in clinical practice.","B Complex, Methyl Folate, Vitamin C and nutrients that support adrenal function","Supports adrenal function, stress tolerance, mood balance. Helps calm nerves, increase energy, and improve focus.",Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure or prevent any disease.",A259PN
C268,A-Immune 90s *,$20.00,$47.00,$27.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C268-composite_squared.png,,Immune Support,Capsules,Capsules,"Professional grade A-Immune supplement for immune support support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. A-Immune contains premium quality ingredients sourced for maximum potency and purity.,Supports immune support and overall wellness. A-Immune is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-AIMMUNE
C668,ALCAR 60s,$20.00,$40.00,$20.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C668-composite_squared.png,,Supplements,Capsules,Capsules,"Professional grade ALCAR supplement for supplements support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. ALCAR contains premium quality ingredients sourced for maximum potency and purity.,Supports supplements and overall wellness. ALCAR is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ALCAR
C258,AllerQC 60s *,$19.50,$42.00,$22.50,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C258-composite_squared.png,,Supplements,Capsules,Capsules,"Professional grade AllerQC supplement for supplements support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. AllerQC contains premium quality ingredients sourced for maximum potency and purity.,Supports supplements and overall wellness. AllerQC is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ALLERQC
C338,Allicin 90s *,$33.00,$66.00,$33.00,https://raw.githubusercontent.com/wplaunchify/ml-wc-practitioners-catalogue/master/catalog/images/C338-composite_squared.png,,Supplements,Capsules,Capsules,"Professional grade Allicin supplement for supplements support. This high-quality formula is manufactured in FDA-inspected, cGMP compliant facilities with rigorous testing for purity and potency. Formulated with premium ingredients for optimal bioavailability and effectiveness.",See product label for complete ingredient list. Allicin contains premium quality ingredients sourced for maximum potency and purity.,Supports supplements and overall wellness. Allicin is formulated with clinically researched ingredients for optimal health benefits.,Take as directed by your healthcare practitioner.,"These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.",PN-ALLICIN
